Title,Poem,PoemToPixel
The wheels on the bus,"The wheels on the bus go round and round, round and round, round and round. The
 wheels on the bus go round and round, all day long.
 The wipers on the bus go swish, swish, swish, swish, swish, swish, swish, swish, swish. The wipers on the bus go swish, swish, swish, all day long.
 The horn on the bus goes beep, beep, beep, beep, beep, beep, beep, beep, beep. The horn on the bus goes beep, beep, beep, all day long.
 The money on the bus goes clink, clink, clink, clink, clink, clink, clink, clink, clink. The money on the bus goes clink, clink, clink, all day long.
 The bell on the bus goes ding, ding, ding, ding, ding, ding, ding, ding, ding. The bell on the bus goes ding, ding, ding, all day long.
 The driver on the bus says ""Move on back, move on back, move on back."" The driver on the bus says ""Move on back"" all day long.
 The doors on the bus go open and shut, open and shut, open and shut. The doors on the bus go open and shut, all day long.
 The people on the bus go chitter and chatter, chitter and chatter, chitter and chatter. The people on the bus go chitter and chatter, all day long.
 The baby on the bus goes ""Wah, wah, wah, wah, wah, wah, wah, wah, wah"" The baby on the bus goes ""Wah, wah, wah"" all day long.
 The mummy on the bus says ""shush, shush, shush, shush, shush, shush, shush, shush,
 shush"" The mummy on the bus says ""shush, shush, shush"" all day long. The kids on the bus make too much noise, too much noise, too much noise. The kids on
 the bus make too much noise, all day long.","The theme of the poem centers around the rhythmic and repetitive sounds of a bus journey, illustrating the various elements and interactions that occur during the ride. The mood is playful and lively, evoking a sense of joy and familiarity often associated with children's songs. 
 

 Notable literary devices include repetition and rhyme, which create a musical quality that engages young readers and listeners. The use of onomatopoeia, such as ""swish"" and ""beep,"" enhances the auditory imagery, making the sounds relatable and vivid. The personification of the bus components, reflecting their actions and sounds, adds a whimsical aspect to the poem, making it enjoyable and engaging for children."
There was an old lady,"There was an old lady who swallowed a fly I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a spider, That wriggled and wiggled and tiggled inside her; She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a bird;
 How absurd to swallow a bird.
 She swallowed the bird to catch the spider,
 She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a cat;
 Fancy that to swallow a cat!
 She swallowed the cat to catch the bird, She swallowed the bird to catch the spider,
 She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady that swallowed a dog; What a hog, to swallow a dog;
 She swallowed the dog to catch the cat, She swallowed the cat to catch the bird, She swallowed the bird to catch the spider, She swallowed the spider to catch the fly; I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a cow, I don't know how she swallowed a cow; She swallowed the cow to catch the dog, She swallowed the dog to catch the cat, She swallowed the cat to catch the bird, She swallowed the bird to catch the spider,
 She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a horse... She's dead, of course!","The poem ""There Was an Old Lady Who Swallowed a Fly"" is a whimsical and humorous narrative that tells the story of an old lady who progressively swallows larger and more absurd creatures in an attempt to catch the previous one she swallowed. The main theme revolves around the consequences of her increasingly irrational actions, illustrating a kind of chain reaction fueled by absurdity and desperation. 
 

 The mood is playful and lighthearted, despite the underlying notion of mortality suggested in the line, ""perhaps she'll die."" This juxtaposition adds a humorous twist, as the reader is led through an escalating series of absurdities that culminate in the inevitable fate of the old lady.
 

 Notable literary devices include repetition, particularly the refrain ""I don't know why she swallowed a fly - perhaps she'll die,"" which reinforces the whimsical tone and builds a rhythmic pattern that makes the poem memorable. Additionally, the use of absurd imagery—such as swallowing a cow or a horse—creates a sense of exaggeration that amplifies the comedic effect. The poem utilizes an engaging narrative structure, where each stanza builds on the last, showcasing a progression that draws readers into the old lady's bizarre predicament. Overall, the poem blends humor and absurdity through rhyme and rhythm, creating an engaging and entertaining read."
"Ding, dong, bell","Ding, dong, bell,
 Pussy’s in the well.
 Who put her in?
 Little Tommy Thin.
 

 Who pulled her out?
 Little Johnny Stout.
 What a naughty boy was that,
 To drown poor pussy cat","The poem ""Ding, Dong, Bell"" revolves around a playful yet sinister theme, exploring the consequences of children's mischief and the vulnerability of a small cat. The mood is light-hearted and whimsical, but there is an underlying darker edge that highlights the potential harm in innocent play. 
 

 Notable literary devices employed include rhyme and rhythm, which create a catchy and memorable flow to the verses. The use of character names—Little Tommy Thin and Little Johnny Stout—adds a colloquial and familiar tone, enhancing the sense of childhood innocence while simultaneously presenting a moral lesson about responsibility and empathy toward animals. The juxtaposition of playful language with the act of potentially drowning the cat creates tension within the light-hearted context of the poem."
2. Jack And Till,"Jack and Jill,
 Went up the hill,
 To fetch
 Qa pail of water.
 

 Jack fell down,
 And broke his crown,
 And Jill came
 tumbling after.","The poem ""Jack and Jill"" revolves around the simple narrative of two characters, Jack and Jill, who climb a hill to fetch water. The main theme addresses the themes of mishap and consequence, showcasing how one action can lead to unintended fallout, as illustrated by Jack's fall and Jill following him.
 

 The mood is light-hearted and playful, typical of a nursery rhyme, despite hinting at the consequences of their actions. This juxtaposition creates a sense of innocence intertwined with a mild sense of danger or misfortune.
 

 Notable literary devices include rhyme, as seen in the repetitive ""hill"" with ""water"" and ""crown"" with ""after,"" which adds a musical quality to the poem. The use of simple language and rhythm further enhances its accessibility and memorability, making it a staple in children's literature."
"3. Twinkle, Twinkle, Little Star","Twinkle, Twinkle, little star,
 How I wonder what*you are!
 

 Up above the world so high,
 Like a diamond in the sky!
 

 Twinkle, Twinkle, little star,
 How I wonder what you are!","The poem ""Twinkle, Twinkle, Little Star"" revolves around the theme of wonder and curiosity, particularly in relation to the natural world. The speaker expresses a sense of awe and fascination as they ponder the identity and nature of a star shining in the night sky. The mood is whimsical and reflective, evoking a childlike sense of innocence and imagination.
 

 Notable literary devices used in the poem include simile, as the star is compared to ""a diamond in the sky,"" which enhances the imagery and emphasizes the star's brightness and beauty. The repetition of ""Twinkle, Twinkle, little star"" serves to create a rhythmic and musical quality, making it memorable and appealing, especially to children. Overall, the poem invites readers to embrace their sense of wonder and appreciation for the mysteries of the universe."
4. Humpty Dumpty,"Humpty Dumpty
 Sat on a wall,
 

 Humpty Dumpty
 Had a great fall.
 

 All the king’s horses,
 And all the King’s men,
 Couldn't put Humpty Dumpty
 

 Together again.","The poem ""Humpty Dumpty"" revolves around the theme of fragility and the inevitability of certain failures. The imagery of Humpty Dumpty, often perceived as a representation of vulnerability, sitting atop a wall suggests a precarious balance that can easily be disrupted. The mood is one of melancholy and resignation, as the poem concludes with the futility of attempts to restore Humpty Dumpty after his great fall. Notable literary devices include repetition (with the name ""Humpty Dumpty"" and the phrase ""all the king's""), which emphasizes his identity and the collective effort that ultimately proves unsuccessful, and rhythm, which gives the poem a nursery rhyme quality that resonates with childhood innocence while hinting at deeper, more somber undertones."
"5. Rain, Rain","Rain, rain,go away.
 Come again,another day;
 Little Johnny wants to play,
 

 Rain,rain, go away.","The poem presents a simple and childlike theme centered around the desire for sunshine and playtime, contrasting the joy of outdoor activity with the disruption caused by rain. The mood is light and playful, capturing the innocence and longing of a child awaiting favorable weather. Notable literary devices include repetition (""rain, rain, go away"") which emphasizes the speaker's plea and creates a rhythmic quality, and personification, as rain is treated as if it can be requested to leave. The poem's structure is straightforward, enhancing its accessibility and appeal to a young audience."
"6.Tang, tang, tang.","Tang, tang, tang.
 Listen to my trumpet,
 Toot, toot, toot.
 

 Listen to my tambourine,
 

 Shoo, shoo, shoo.","The poem features a playful and rhythmic theme, centered around the sounds of musical instruments. The repeated onomatopoeic phrases like ""tang,"" ""toot,"" and ""shoo"" create a lively, upbeat mood, engaging the reader in an auditory experience. Notable literary devices include repetition and alliteration, which enhance the musical quality and emphasize the joy of sound. Overall, the poem captures the excitement of music in a whimsical and engaging manner."
7. TEN LITTLE FINGERS,"Ten little fingers,
 Ten little toes:
 Two little ears,
 And one little nose.
 

 Two little eyes,
 That shine so bright:
 And one little mouth,
 To kiss Mummye' Good night”.","The poem captures the innocence and joy of childhood, focusing on the physical features of a baby. The main theme revolves around the simplicity and wonder of a child's existence, emphasizing the tender bond between a mother and her child. The mood is warm and affectionate, evoking feelings of love and nurturing.
 

 Notable literary devices include repetition, which reinforces the simplicity and completeness of the child's body, and the use of rhyme, creating a musical and rhythmic quality that enhances the reading experience. The imagery is vivid, particularly in phrases like ""shine so bright,"" which adds a sense of warmth and joy to the text. Overall, the poem celebrates the beauty of new life and the loving relationship between mother and child."
8. CLEAN HANDS,"Hands are meant for working,
 Hands are meant for play,
 Hands are used a hundred times,
 Every single day.
 

 Hands get very dirty,
 

 As everyone can tell, ov
 So don't forget before you eat, wv ;
 

 Be sure, to wash them we","The poem emphasizes the importance of hands in daily life, highlighting their roles in both work and play. The main theme revolves around the multifaceted use of hands and the necessity of hygiene, particularly washing hands before eating. The mood of the poem is light-hearted and practical, reflecting an everyday reality that people can relate to. Notable literary devices include repetition, as seen in the phrasing of ""Hands are meant,"" which reinforces the central idea, and a conversational tone that engages readers in a straightforward message about cleanliness."
9. HOT CROssS BUNS,"Hot cross buns!
 Hot cross buns!
 

 One a penny, two a penny,
 Hot cross buns!
 

 If you have no daughters,
 Give them to your sons.
 One a penny, two a penny,
 Hot cross buns!","The poem ""Hot Cross Buns"" revolves around a simple, festive theme celebrating a traditional baked good associated with Easter. The repetitive structure and refrain create a playful, rhythmic mood, evoking a sense of cheerfulness and warmth. 
 

 Notable literary devices include repetition, which emphasizes the joy and excitement surrounding the hot cross buns, and rhyme, which adds a musical quality appropriate for a children’s song. Additionally, the mention of giving buns to sons if there are no daughters introduces a subtle societal context, reflecting traditional family roles. Overall, the poem encapsulates community spirit and the enjoyment of shared treats."
10. PAT-A-CAKE |,"Pat-a-cake, Pat-a-cake,
 Baker’s man,
 Bake me a cake,
 

 As fast as you can.
 

 Pat it and prick if,
 And mark it with T,
 And put it in the oven,
 For Teacher and Me.","The main theme of this poem revolves around the playful and creative act of baking, specifically a cake made for a teacher and the speaker. The mood is lighthearted and cheerful, evoking a sense of childhood innocence and joy in the activity of baking. 
 

 Notable literary devices in the poem include repetition, with the phrase ""Pat-a-cake"" creating a rhythmic quality that mirrors the act of baking. The use of imperatives like ""Bake,"" ""Pat it,"" and ""Mark it"" gives the poem an engaging, interactive feel that invites readers into the action. Additionally, the rhyme scheme reinforces the playful tone and enhances the musicality of the poem."
ll. POLLY PUT THE KETTLE ON,"Polly put the Kettle on,
 Kettle on, Kettle on,
 Polly put the Kettle on,
 We'll all have tea.
 

 Sukey take it off again,
 Sukey take it off again,
 Sukey take it offagain,
 They'veeallgone away.","The poem ""Polly Put the Kettle On"" centers around the simple act of making tea and creates a cheerful and playful mood. The main theme revolves around domestic life and the communal joy of sharing a moment with friends over tea. The repetition of lines, as seen in the phrases ""Kettle on"" and ""take it off again,"" serves as a notable literary device, emphasizing the rhythmic nature of the poem and enhancing its sing-song quality. Additionally, the contrast between Polly's action of putting the kettle on and Sukey's act of taking it off introduces a lighthearted dynamic, suggesting a playful exchange among friends. Overall, the poem captures the warmth of companionship and the delight found in everyday routines."
12.1 AM A TEAPOT,"lam a little teapot,
 Short and stout:
 This is.my handle,
 And this is my spout.
 

 When the water's boiling,
 Hear me shout!
 “Pick me up,
 and pour me out”.","The main theme of ""I'm a Little Teapot"" revolves around the playful personification of a teapot, creating a sense of familiarity and warmth. The poem captures the essence of childhood through its simple and joyful lyrics. The mood is light-hearted and cheerful, inviting participation and interaction, especially as it is often accompanied by hand motions in performance.
 

 Notable literary devices used include personification, as the teapot is given human-like characteristics, and repetition, which reinforces the playful tone. The rhythmic and rhyming structure also adds to the poem's sing-song quality, making it memorable and engaging for children."
"Peter, Peter, Pumpkin eater","Peter, Peter, Pumpkin eater:
 Had a wife and couldn't keep her.
 

 He put her in a pumpkin shell:
 And there he kept her very well!","The poem ""Peter, Peter, Pumpkin Eater"" presents a whimsical and slightly dark theme revolving around isolation and possession in relationships. The mood is playful yet unsettling, as it juxtaposes an innocent nursery rhyme with an ominous undertone of confinement. 
 

 Notable literary devices include rhyme and rhythm, which create a sing-song quality typical of traditional nursery rhymes. The use of imagery, particularly the vivid depiction of the pumpkin shell, evokes a sense of both comfort and entrapment. Additionally, the poem employs irony—Peter's inability to keep his wife leads to a bizarre solution, highlighting the absurdity of the situation. Overall, the poem illustrates complex themes of love, control, and the atypical nature of relationships through its light-hearted facade."
14. MY KITTEN,"Frisky is my kitten, >) dil,
 She’s very hard to catch: —— |
 And if lam not careful,
 I'm sure to get a scratch!
 

 I put my arms around her,
 But, what do you suppose?
 Frisky simply wriggles
 From her head to her toes.","The poem revolves around the playful and mischievous nature of a kitten named Frisky. The main theme highlights the challenges of capturing and handling a lively pet, which is a relatable experience for many cat owners. The mood is light-hearted and playful, filled with affection for the kitten despite the troubles she causes.
 

 Notable literary devices include personification, as the kitten is described as ""wriggling"" and having a spirited personality, and the use of rhyme and rhythm that adds a musical quality to the verses. The playful language conveys a sense of joy and frustration, effectively capturing the endearing chaos that a pet can bring."
15. MIX A cane,"Mix a pancake,
 Stir a pancake,
 Pop it in a pan:
 Fry a pancake,
 Toss a pancake,
 Catch it if you can!","The main theme of this poem revolves around the playful and engaging process of making pancakes. The mood is cheerful and light-hearted, capturing the joy and excitement of cooking. Notable literary devices used by the poet include repetition, as seen in the lines ""Mix a pancake"" and ""Stir a pancake,"" which create a rhythmic quality. The use of imperative verbs also encourages an active participation from the reader, adding to the playful spirit of the poem. Additionally, the phrase ""Catch it if you can!"" adds an element of fun and challenge, enhancing the overall whimsical tone."
16. Milk Magic,"What is in a glass of milk?
 Cheeks like roses, Skin like silk:
 Eyes like diamonds,
 

 Teeth like pearls.
 

 Health for growing
 Boys and girls.
 Bodies sturdy, strong and round,
 In a glass of milk are found.","The poem celebrates the nourishing qualities of milk, emphasizing its role in promoting health and growth in children. The main theme revolves around the idea that milk is essential for developing strong and healthy bodies. The mood is vibrant and uplifting, filled with a sense of appreciation for the natural benefits of milk. The poet employs notable literary devices such as similes, comparing cheeks to roses, skin to silk, and eyes to diamonds, which adds a vivid, imaginative quality to the imagery. Repetition of the sound in phrases like ""sturdy, strong and round"" further reinforces the idea of robust health connected to milk consumption. Overall, the poem conveys a joyful and positive view of milk as a vital source of nourishment."
17.Bread and jam,"Slice, slice, the bread looks nice,
 Spread the butter on each slice.
 

 On the top, put jam so sweet,
 Now, it’s nice for us to eat.","The main theme of the poem revolves around the simple pleasures of preparing and enjoying food, specifically a slice of bread with butter and jam. The mood is lighthearted and cheerful, evoking a sense of warmth and satisfaction associated with sharing a meal. Notable literary devices include rhyme, as evidenced by the repetitive ""slice"" and ""nice"" as well as ""sweet"" and ""eat,"" which contribute to the playful and rhythmic flow of the poem, enhancing its joyful tone."
"18.One, two,
 Buckle my shoe","One, two,
 Buckle my shoe:
 

 Three, four,
 Shut the door:
 

 Five, Six,
 Pick up sticks:
 

 Seven, eight,
 Lay them, straight:
 

 Nine, ten,
 Avbig fat hen.","The poem presents a playful, rhythmic counting nursery rhyme that centers around simple actions associated with each number. The main theme revolves around childhood experiences and the joy of learning to count through engaging and interactive phrases. The mood is lighthearted and whimsical, capturing the innocence and fun of early childhood. Notable literary devices include rhyme and repetition, which enhance the musical quality of the poem and make it memorable for young readers. The use of alliteration, particularly in phrases like ""buckle my shoe"" and ""big fat hen,"" adds a playful sound quality that contributes to its overall charm."
"20. HICKORY, DICKORY, DOCK","Here we go round the mulberry bush,
 The mulberry bush, the mulberry bush.
 

 Here we go round the mulberry bush,
 Ona cold and frosty morning.
 

 This is the way, we brush our teeth,
 We brush our teeth, we brush our teeth.
 This is the way, we brush our teeth,
 On a cold and frosty morning.","The poem revolves around the theme of childhood and the simplicity of daily routines, captured through a repetitive and playful structure. The mood is light-hearted and jovial, evoking a sense of nostalgia for the carefree activities of youth. 
 

 Notable literary devices include repetition, which emphasizes the rhythmic nature of the poem and engages the reader, creating a sing-song quality that is characteristic of nursery rhymes. The imagery of a ""cold and frosty morning"" adds a sensory element, anchoring the playful nature in a specific setting. Overall, the poem celebrates the joy found in simple, mundane tasks within the context of a child's world."
21.Mary had a little lamb,"Mary had
 a little lamb(3)
 

 Its fleece was white as snow.
 And everywhere that
 Mary went(3)
 The lamb was sure to go.
 

 It followed her to
 school one day(3)
 And that was against*the,rule,
 It made the children
 laughvand play(3)
 To.sée)the lamb at school.","The poem ""Mary Had a Little Lamb"" revolves around the theme of innocence and companionship, portraying the close bond between a girl named Mary and her pet lamb. The mood is light-hearted and playful, as it captures the joy and whimsy of childhood and the amusing image of a lamb following Mary to school, which is against the rules. Notable literary devices include repetition, particularly with the phrase ""little lamb,"" which emphasizes the lamb's smallness and innocence, and simile, as seen in the line ""Its fleece was white as snow,"" which creates a vivid image of the lamb's purity. Overall, the poem evokes feelings of nostalgia and warmth, celebrating youthful freedom and friendship."
Three blind mice,"Three blind mice.(2)
 See how they run! (2)
 They all ran after the farmer's wife:
 Who cut off their tails
 

 With a carving Knife!
 Did you ever see
 Such a thing in your life?
 As three blind mice","The poem ""Three Blind Mice"" presents a dark and whimsical narrative centered around three visually impaired mice that flee from a farmer's wife, who inflicts a violent punishment by cutting off their tails. The main theme revolves around the irony of innocence being met with cruelty, as these blind mice, despite their vulnerability, evoke curiosity and a hint of humor. 
 

 The mood is playful yet macabre, combining child-like whimsy with a sinister undertone. Notable literary devices include the use of rhyme and rhythm, which contribute to a sing-song quality that contrasts sharply with the violent imagery. The repetition of phrases like “Three blind mice” emphasizes the absurdity of their plight and engages the reader in a catchy, memorable way. The use of an exclamatory tone in lines like ""Did you ever see / Such a thing in your life?"" further amplifies this blend of humor and horror, inviting a reaction from the audience."
23. THE STATION,"Down by the station,
 Early in the morning,
 See all the trains there,
 4 Standing in a row:
 

 The guard waves his flag now,
 And blows his little whistle:
 Everyone inside now,","The poem presents a cheerful scene set at a train station in the early morning. The main theme revolves around the excitement and anticipation of travel, as well as the routine of train operations. The mood is lively and spirited, capturing the hustle and bustle of the station with a sense of communal activity.
 

 Notable literary devices include simple rhyme and repetition, which create a rhythmic quality and enhance the playful tone of the poem. The imagery of the trains and the guard’s actions evokes a vivid picture of the setting, engaging the reader's senses and drawing them into the experience. Overall, the poem encapsulates a moment of joyful anticipation and the charm of train travel."
24. PUFF-A-TRAIN,"Puff-a-train, puff-a-train,
 Noisy little puff-a-train,
 

 If you are going to the sea,
 Puff-a-train, O, please take me.
 

 Puff-puff-puff, ssh-ssh-ssh, (2)
 Ssh-ssh-ssh-ssh-ssh-ssh.","The main theme of the poem revolves around the excitement and joy of traveling, particularly by train to the sea. The speaker expresses a longing to join the adventure of the ""puff-a-train,"" highlighting the allure of exploration and the happiness that travel can bring.
 

 The mood of the poem is playful and whimsical, evoking a sense of childlike enthusiasm and curiosity. The repetitive sounds of ""puff"" and ""ssh"" create a rhythmic and musical quality that mimics the sounds of a train, enhancing the imagery and soundscape.
 

 Notable literary devices used include repetition, which reinforces the carefree and energetic tone, and onomatopoeia, as the words imitate the sounds of a train, making the experience more vivid for the reader. Overall, the poem captures a sense of wonder and the thrill of journeying to new places."
25. THE COCK,"The cock doth crow,
 To let you Know:
 If you be wise 
 Tis time to rise.","The main theme of this poem centers around the idea of waking up and embracing the day, signified by the crowing of the rooster. The mood is one of encouragement and practicality, urging the reader to take action and seize the moment. Notable literary devices used include rhyme, as seen in the repetition of the ""-ow"" and ""-ise"" sounds, which creates a playful and musical quality. Additionally, there is a use of personification, as the rooster’s crow is presented as a signal for wisdom and awareness. Overall, the poem conveys a simple yet profound message about the importance of being proactive in life."
26. OH! LOOK AT THE MOON JM,"OH! LOOK AT THE MOON JM
 Shei is a sed ve ‘he re,
 she lool
 Like a amp in he air","The poem ""Oh! Look at the Moon"" by JM seems to focus on the theme of admiration for the moon, personifying it as a captivating presence in the night sky. The mood is one of wonder and enchantment, evoking a sense of joy and perhaps nostalgia. The poet uses visual imagery, comparing the moon to a lamp, which emphasizes its brightness and beauty. Additionally, the misspellings and playful structure may suggest an innocence or childlike perspective, enhancing the overall charm of the poem."
"27.Teddy Bear, Teddy Bear","Teddy Bear, Teddy Bear,
 Turn around.
 Teddy Bear, Teddy Bear,
 Touch the ground.
 Teddy Bear, Teddy Bear,
 Polish your shoes.
 Teddy Bear, Teddy Bear,
 Off to school!","The poem ""Teddy Bear, Teddy Bear"" conveys a playful and lighthearted theme centered around a child's adventure with their teddy bear. The mood is cheerful and whimsical, capturing the innocence and joy of childhood. Notable literary devices include repetition, which creates a rhythmic and engaging quality, and simple rhymes that enhance its sing-song nature, making it easy to remember and recite. The poem reflects a sense of routine and readiness for school, thereby encapsulating the delightful rituals of preparing for a new day."
"28.One, two, three, four","One, two, three, four,
 Mary at the cottage door.
 Five, six, seven, eight,
 Eatting cherries off a plate","The poem captures a playful and light-hearted theme, focusing on the simple joys of childhood and nature. The mood is cheerful and whimsical, as it depicts young Mary enjoying a carefree moment at a cottage, with imagery of counting and fruit that evokes innocence and delight. 
 

 The poet employs repetition and a rhythmic structure, emphasizing the counting sequence, which adds to the playful tone. The visual imagery of “cherries off a plate” creates a vivid snapshot of a pleasant summer day, further enhancing the joyful atmosphere. Overall, the poem celebrates the small, joyful moments in life."
29. Butterfly,"“Butterfly, butterfly,
 From where do you come?”
 “I Know not, I ask not,
 I never had a home.”","The poem captures a conversation between a speaker and a butterfly, focusing on themes of origin and belonging. The butterfly's response reflects a sense of detachment and freedom, as it expresses ignorance of its origins and a lack of a home. The mood is somewhat melancholic yet wistful, highlighting the transient nature of life. 
 

 Notable literary devices include personification, as the butterfly is given the ability to speak, and invocation of rhetorical questions, which emphasize the theme of existential inquiry. The repetition of ""butterfly"" reinforces its significance and evokes a sense of innocence and wonder. Overall, the poem invites reflection on identity and the search for meaning."
30. Hammers,"Fetch a little: hammer:
 Tap, tap, tap.
 

 Fetch a bigger hammer:
 Bang, bang, bang.
 

 Fetch the biggest hammer:
 Crash, crash, crash.","The poem portrays a sense of escalating action and intensity through the use of repetitive actions and sounds, depicting the process of construction or destruction. The main theme revolves around the idea of progression, where each subsequent action builds upon the last, emphasizing the concept of effort leading to greater impact. The mood can be described as energetic and forceful, creating a rhythm that draws the reader into the physicality of the work being done. Notable literary devices include repetition, which reinforces the escalating tone, and onomatopoeia, as seen in the sounds ""tap,"" ""bang,"" and ""crash,"" which bring the imagery to life and evoke auditory sensations that enhance the overall experience of the poem."
"31. To Market, To Market","To market, to market,
 With a cart full of corn.
 Happy little horsey,
 Goes hippity hoppity hop.
 Home again home again,
 Rolls the empty cart.
 Happy little horsy,
 Goes hippity, hoppity hop.","The poem ""To Market, to Market"" captures the cheerful and lively journey of a little horse carrying corn to the market and then returning home with an empty cart. The main theme revolves around the simple joys of daily life and the rhythm of rural activities. The mood is light-hearted and joyful, evoking a sense of playfulness and contentment. 
 

 Notable literary devices include the use of repetition, particularly in the lines ""Happy little horsey"" and ""Goes hippity hoppity hop,"" which creates a musical quality and reinforces the horse's cheerful demeanor. The playful rhythm and vivid imagery enhance the poem's whimsical nature, making it appealing and enjoyable for readers, especially children."
"32.Baa, Baa, Black Sheep","Baa, Baa, Black Sheep,
 Have you any wool?
 Yes sir, yes sir,
 Three bags full.
 

 One for my master,
 One for my dame:
 And one for the little boy,
 Who lives down,the lane.","The poem ""Baa, Baa, Black Sheep"" presents a simple theme centered around the idea of providing for others, as the black sheep generously offers wool for a master, a dame, and a little boy. The mood is playful and cheerful, characteristic of a nursery rhyme that appeals to children. Notable literary devices include repetition, which emphasizes the quantities of wool, and rhyme, which creates a musical quality that enhances memorability. The use of conversational language makes it accessible and engaging for young readers."
33. ORANGES AND LEMON,"Oranges and Lemon
 Sold for a penny,
 All the school kids
 Are so many.
 The grass is green,
 And the rose is red,
 Remember me;
 Till l am dead-dead-dead.","The poem ""Oranges and Lemons"" captures the innocent and playful spirit of childhood through its depiction of school children enjoying simple pleasures. The main theme revolves around the carefree nature of youth, symbolized by the imagery of oranges, lemons, and vibrant grass and roses. The mood is nostalgic and somewhat melancholic, especially with the final line that introduces a stark reminder of mortality (""till I am dead-dead-dead""). Notable literary devices include vivid imagery, which evokes the sensory experience of childhood, and repetition of the word ""dead,"" emphasizing the inevitability of death and serving as a poignant contrast to the light-heartedness of the earlier lines."
"34.Mary, Mary, quite contrary","Mary, Mary, quite contrary,
 How does your garden grow?
 With silver bells and cockle shells,
 And pretty maids all in a row.","The poem ""Mary, Mary, Quite Contrary"" presents a whimsical and playful theme, centering on the image of a beautiful garden and the intriguing character of Mary. The mood is lighthearted and rhythmic, evoking a sense of innocence often associated with nursery rhymes. 
 

 Notable literary devices include the use of rhyme and rhythmic repetition, which contribute to its lyrical quality. The imagery of ""silver bells and cockle shells"" creates a vivid visual representation of the garden, while the phrase ""pretty maids all in a row"" adds a charming and orderly aspect to the scene. Overall, the poem evokes a sense of curiosity and enchantment about nature and childhood."
35. An aeroplane,"I am an aéroplane.
 Up in the sky,
 see how swiftly,
 I fly, fly, fly.","The main theme of the poem revolves around the exhilaration of flight and the freedom associated with being an airplane soaring through the sky. The mood is joyful and upbeat, conveying a sense of adventure and liberation. Notable literary devices include repetition with the phrase ""fly, fly, fly,"" which emphasizes the excitement of flying, and vivid imagery that allows readers to envision the airplane's swift movement through the sky. The simple structure and playful tone enhance the overall feeling of joy and wonder in the experience of flight."
"36.Row, row, row your boat","Row, row, row your boat,
 Gently down the stream:
 Merrily, merrily, merrily, merrily,
 Life is but a dream.","The main theme of this poem emphasizes the idea of life's ephemeral nature and the importance of maintaining a lighthearted approach to existence. The mood is cheerful and playful, encapsulated by the repetitive and soothing rhythm of the lines. Notable literary devices used include repetition, which enhances the poem's musical quality, and metaphor, as life is likened to a dream, suggesting both its fleetingness and the illusionary aspects of human experience. Overall, the poem invites a sense of joy and a carefree attitude towards life's journey."
"37.ROW, ROW, ROW YOUR BOAT","Little Miss Muffet,
 Sat on a tuffet,
 

 Eating some curds and whey.
 There came a big spider,
 

 And sat down beside her,
 And frightened Miss Muffet away!","The poem ""Little Miss Muffet"" revolves around the main theme of unexpected fear and the disruption of peaceful moments. The mood is light and playful, yet it takes a sudden turn into fright when the big spider appears. Notable literary devices include rhyme and rhythm, which create a sing-song quality that appeals to children. The use of personification, where Miss Muffet's reaction to the spider embodies a typical childhood fear, adds an element of relatability and humor to the poem. The stark contrast between the normalcy of eating curds and whey and the sudden frighting encounter serves to heighten the poem's thematic tension."
38. LOLLI-POP,"Lolli-pop, lolli-pop
 On a long stick,
 

 I yust take a bite,
 ] just take a lick,
 

 I soon finish my lolli-pop,
 On a long stick.","The poem centers on the simple joy and indulgence associated with eating a lollipop. The main theme revolves around childhood innocence and the pleasure derived from small treats. The mood is lighthearted and playful, evoking a sense of nostalgia and sweetness. 
 

 Notable literary devices include repetition, with the phrase ""lolli-pop"" and ""on a long stick"" reinforcing the playful tone. The informal, conversational language contributes to the accessibility and charm of the poem, enhancing its childlike perspective. The use of playful sounds in ""yust"" and ""lick"" adds to the whimsical nature of the piece, making it enjoyable and engaging for readers."
39. LITTLE MISS MUFFET,"Little Polly Flinders,
 Sat among the cinders,
 

 Warming her pretty little toes.
 Her mother came and caught her,
 

 And whipped her little daughter,
 For spoiling her nice new clothes. ,","The poem ""Little Polly Flinders"" revolves around the theme of childhood mischief and parental discipline. The mood is light-hearted yet tinged with a sense of reprimand as it depicts a young girl, Polly, who finds joy in a playful yet mischievous act of warming her toes among cinders. 
 

 Notable literary devices include rhyme, as seen in the alternating lines that create a rhythmic flow, and imagery, particularly in the description of Polly's actions and her mother's reaction. The juxtaposition between Polly's innocent pleasure and her mother's sternness highlights the tension between freedom and authority in a playful manner. Overall, the poem captures the innocence of childhood while also acknowledging the consequences of one's actions."
