poem,theme,mood,devices
"Once a dog found a bone in a jungle. He held the bone in his
 mouth. He came near a stream. While crossing the stream, he
 looked into the water. He thought that there was another dog in
 the water who wanted his bone. So he opened his mouth to bark:
 and his bone fell down into the water. It was not another dog. It
 was his own reflection. The dog was very angry with himself for
 being greedy. He had to remain hungry.
 

 Moral: We should never be greedy.",the consequences of being greedy and how it can result in losing what one already possesses,unknown,"metaphor—where the water serves as a reflection of the dog’s desire—and personification, as the dog's perception of another dog represents his internal conflict with greed"
"Once a lion caught a mouse. The mouse begged the lion not to
 eat him. Someday, he said, he would help the lion. The lion set
 the mouse free.
 

 One day, the lion got caught in a hunter’s net. The mouse came
 to help lion. He cut the net with his sharp teeth. The lion was set
 free. The lion and the mouse became good friends.
 

 Moral: We should never judge anybody by appearance.",the idea of kindness and the unexpected nature of friendship,uplifting and hopeful,"personification, as animals are given human traits, and irony, where the initially perceived weak character (the mouse) turns out to be instrumental in saving the powerful one (the lion)"
"See me skip
 see me run,
 I am going to school Like everyone.
 See me shout
 See me wave,
 I am off to school
 Bye, everyone.
 See me hug See me dance,
 I see my friends Hello, everyone!
 See me smile See me grin,
 When the bell rings I walk in.
 See me jump
 See me play,
 I am in S.P.M. Public School
 Hip Hip Hooray!!!",the joy and excitement of starting a new school day,cheerful and playful,"repetition (""See me""), which emphasizes the various actions and feelings of the child, and the use of informal rhyme and rhythm, which creates a lively tone and enhances the playful spirit of the poem"
"Baa, baa black sheep
 Have you any wool
 Yes sir, yes sir
 Three bags full
 One for my master
 And one for my dame
 And one for the little boy
 Who lives down the lane.",playful and light-hearted,playful and light-hearted,"rhyme, which creates a musical quality (e"
"Incy Wincy spider
 Climbed up the waterspout
 Down came the rain
 And washed the spider out.
 Out came the sun
 And dried up all the rain
 So the Incy Wincy spider
 Climbed the spout again!",light and playful,light and playful,"repetition, which reinforces the cyclical nature of the spider's journey, and personification, as the spider is given human-like qualities through its ability to climb and persist after facing challenges"
"Oh dear! What can the matter be?
 Oh dear! What can the matter be?
 FATA
 Oh dear! What can the matter be?
 Johnny's so long at the fair.
 He promised to buy me a bunch of blue ribbons,
 To tie up my long brown hair.
 Oh dear! What can the matter be?
 Oh dear! What can the matter be?
 Oh dear! What can the matter be?
 Johnny's so long at the fair.",anxiety and anticipation related to a loved one’s absence,unknown,"repetition, which serves to heighten the emotional urgency of the speaker's feelings, as well as imagery, particularly in the reference to ""blue ribbons"" and ""long brown hair,"" painting a vivid picture of youthful innocence and affection"
"I'm a little teapot
 Short and stout
 This is my handle
 This is my spout
 When the water's boiling
 Hear me shout
 Pick me up and pour me out",light-hearted and cheerful,light-hearted and cheerful,"personification, as the teapot is given human-like qualities (e"
"One, two, buckle my shoe
 Three, four, knock at the door
 Five, six, pick up the sticks,
 Seven, eight, lay them straight
 Nine, ten, a big fat hen",lighthearted and whimsical,lighthearted and whimsical,"repetition and rhyme, which create a musical quality that enhances its appeal to young readers"
"Gently down the stream
 Merrily, merrily, merrily, merrily
 Life is but a dream
 Row row row your boat
 Gently down the stream
 If you see a small fish Don't forget to scream Row row row your boat
 Gently down the stream
 If you see a big fish
 Don't you ever scream",but a dream,light-hearted and whimsical,"repetition, particularly of the phrase ""row row row your boat,"" which creates a rhythmic and musical quality, contributing to the overall cheerfulness of the poem"
"Hot cross buns (2)
 One a penny, two a penny hot cross buns
 Give them to your daughters, and also to your sons,
 One a penny, two a penny Hot cross buns.",unknown,unknown,"repetition, which enhances the musicality of the verse, and alliteration in ""penny"" and ""buns,"" contributing to the rhythmic quality of the poem"
"Two little dicky birds
 Sat upon a wall;
 One named Peter,
 The other named Paul;
 Fly away, Peter!
 Fly away, Paul!
 Come back, Peter!
 Come back, Paul!",cheerful and inviting,cheerful and inviting,"repetition, as seen in the phrases ""Fly away"" and ""Come back,"" which create a rhythmic quality and enhance the sense of movement and interaction between the birds"
"I Hear thunder,
 I Hear thunder,
 Oh! don't you?
 Pitter-Patter raindrops,
 Pitter-Patter raindrops,
 I'm wet through!
 I'm wet through!
 So are You!",the experience of rain and the associated feelings of joy and connection,unknown,"repetition, with phrases like ""I hear thunder"" and ""Pitter-Patter raindrops"" reinforcing the rhythmic quality and emphasizing the sounds of the storm"
"I have a little tooth brush
 I hold it very tight
 I brush my teeth each morning
 And then again at night",light-hearted and playful,light-hearted and playful,"repetition, emphasizing the frequency of brushing (""each morning / And then again at night""), and a rhythmic structure that enhances its whimsical tone, making it engaging for readers, especially children"
"Ten little fingers, ten little toes
 Two little ears and one little nose,
 Two little eyes that shine so bright
 One little mouth to kiss mother
 Good Night",the tenderness and joy of parenthood,warm and affectionate,"simple rhyming couplets that create a soothing rhythm, making it suitable for a bedtime setting, as well as imagery that paints a vivid picture of the child's features"
"Clap your hands
 Clap your hands
 Listen to the music and
 Clap your hands
 Same way-
 Stamp your feet
 Turn around
 Jump up high",lively,lively,"repetition, which creates a rhythmic and engaging flow, and imperative verbs that instill a sense of urgency and excitement in the instructions"
"Aeroplane, Aeroplane up in the sky,(2)
 Where are you going flying so high
 Over the hills over the seas,(2)
 Aeroplane Aeroplane please take me",travel and the excitement of flight,playful and whimsical,"repetition, as seen in the recurring phrases ""Aeroplane"" and ""please take me,"" which emphasizes the speaker's longing"
"Open them, shut them(2)
 Give a little clap(2)
 Open them, shut them(2)
 Lay them on your lap(2)
 Creep them(4)
 Go upto your chin(2)
 Open wide your little mouth
 But don't let them in.
 Open them, shut them.",engaging children in playful activities,light-hearted and playful,"repetition, which enhances the rhythm and makes it easy for children to follow along, and rhyme, which adds a musical quality to the poem, making it enjoyable and memorable for young readers"
"There is rainbow in the sky
 Do you know how it came by?
 Drops of water through sunlight
 Gives the sky a pretty sight
 Seven colours can be seen
 Red, yellow and lovely green
 Violet, Indigo and blue
 There is orange in it too!",whimsical and joyful,whimsical and joyful,"rhyme, as seen in the couplets that create a musicality to the poem, and imagery, as the poem vividly describes the rainbow and its seven colors, evoking a visual delight for the reader"
"Bits of paper
 Bits of paper
 Lying on the floor
 Lying on the floor
 Makes the place untidy
 Makes the place untidy
 Pick them up
 Pick them up
 Collect all the papers
 Collect all the papers
 Where shall we throw?
 Where shall we throw?
 Throw them in the dustbin
 Throw them in the dustbin
 Now the place is clean
 Now the place is clean",unknown,unknown,unknown
"Two little hands go
 Clap clap clap
 Two little feet go
 Tap tap tap
 Two little eyes
 That open wide
 One little head
 Nods side to side",the joyful movements and actions of a child,cheerful and lively,"alliteration in phrases like ""clap clap clap"" and ""tap tap tap,"" as well as repetition, which enhances the poem's playful tone and engages the reader or listener"
"The bear went over the mountain (3)
 To see what he could see
 And what did you think he saw? (2)
 The other side of the mountain (3)
 Was all that he could see
 And what did you think he did? (2)
 He slipped down the mountain (3)
 And fell into the sea
 Splash.............",curiosity and exploration,playful and whimsical,"repetition, highlighted through the repeated phrases that create a rhythmic structure, and a sound effect at the end (""Splash""), which adds an element of surprise and humor"
"Ring a ring of roses
 Pocket full of posies
 A Tishoo and A Tishoo
 We all fall down
 The cows are in the meadows
 Eating buttercups
 A Tishoo and A Tishoo
 We all jump up",poem revolves around the cycle of life and death,whimsical and light-hearted at first,"repetition, as seen in the phrases ""A Tishoo and A Tishoo"" and ""We all—,"" which create a rhythmic flow that enhances the musical quality of the poem"
"Munching Mangoes
 Munching Mangoes
 Mish mash mush (2)
 Jumps in to the puddle
 Splish, splash, splush (2).",unknown,unknown,unknown
"Carrots and pumpkins
 Cabbage and peas
 Big brown potatoes
 Long green beans.
 So many vegetables
 Good for you.
 Spinach and corn
 Let us try them too.",promoting healthy eating habits through the inclusion of various vegetables in one's diet,cheerful and inviting,"alliteration, as seen in phrases like ""Big brown potatoes"" and ""Long green beans,"" which add a rhythmic quality to the poem, enhancing its playful tone"
"I have two arms that swing like this, (thrice) I have two arms that swing like this, Swing, Swing, Swing.
 I have two hands that clap like this, (thrice) I have two hands that clap like this, Clap, Clap, Clap.
 I have little fingers that wriggle like this, (thrice) I have little fingers that wriggle like this, Wriggle, Wriggle, Wriggle.
 I have two legs that jump like this, (thrice) I have two legs that jump like this, Jump, Jump, Jump.
 I have two feet that march like this, (thrice) I have two feet that march like this, March, March, March.
 I have little toes that hop like this, (thrice) I have little toes that hop like this,
 Hop, Hop, Hop.",unknown,unknown,"repetition, which emphasizes the rhythmic quality and encourages engagement, as the phrases are reiterated thrice to enhance the playful nature of the poem"
"Rabbit, Rabbit 1, 2, 3
 Will you come and play with me?
 Camels, Camels 4, 5, 6
 Why do you have a hump like this?
 Monkeys, Monkeys 7, 8, 9
 Will you teach me how to climb?
 When I counted up to 10,
 The elephant says,
 ""Now start again"".",lighthearted and cheerful,lighthearted and cheerful,"alliteration with the repeated animal names and numbers, as well as personification, as the animals are depicted as capable of teaching and playing"
"One, two, one, two lets visit the zoo
 Three, four, three, four hear the lion roar
 Five, six, five, six watch the monkey tricks
 Seven, eight, seven, eight peacock looks so great
 Nine, ten, nine, ten we shall come again.",a playful and joyful visit to the zoo,light-hearted and whimsical,"rhyme, as demonstrated by the repetitive structure of the verses (""one, two, one, two"" and so forth), which creates a rhythmic quality that engages the reader"
